"sku","name","rial","toman","stock","status"
"sku","name","rial","toman","stock","status"
"90601257","آباژور دیمر دار ایکیا HALGATT رنگ بژ قهوه‌ای",180,270000000,25,"success"
"60611366","نظم دهنده کفش ایکیا MURVEL سایز 27x14x25 سانتی متر",10,15000000,0,"success"
"60604714","جا بطری ایکیا VARIERA",10,15000000,39,"success"
"00618573","ارگانایزر و نظم‌دهنده روی کابینت آشپزخانه ایکیا مدل NÅLBLECKA فلزی و بامبو",20,30000000,0,"success"
"50618575","جا قاشقی و استند لوازم آشپزخانه ایکیا مدل NÅLBLECKA فلزی و بامبو",40,60000000,40,"success"
"40618571","شلف کنج آشپزخانه ایکیا مدل NÅLBLECKA فلزی و بامبو",60,90000000,0,"success"
"10601303","چراغ رومیزی ایکیا مدل VINDKRAFT رنگ سفید کاغذی",120,192000000,22,"success"
"00602039","چراغ دکوری زمینی ایکیا مدل GREJSIMOJS طرح زرافه رنگ زرد",150,240000000,14,"success"
"60597780","چراغ قابل حمل ایکیا مدل TVAMASTAD رنگ برنجی با شیشه اوپال سفید",120,180000000,0,"success"
"40608548","چراغ قابل حمل ایکیا مدل IKEA PS 2026 رنگ قرمز و آبی روشن",150,225000000,0,"success"
"50608557","چراغ قابل حمل ایکیا مدل IKEA PS 2026 رنگ سبز و صورتی روشن",150,225000000,0,"success"
"30613569","چراغ قابل حمل ایکیا مدل IKEA PS 2026 رنگ آبی",150,225000000,0,"success"
"10583851","چراغ رومیزی با قابلیت تنظیم نور ایکیا مدل SPETSBOJ رنگ زرد",40,60000000,0,"success"
"80589114","چراغ رومیزی ایکیا مدل SPETSBOJ رنگ سفید با قابلیت تنظیم نور",50,75000000,0,"success"
"80601248","چراغ ایستاده و مطالعه ایکیا مدل MOSSPLYM",490,808500000,11,"success"
"20581903","پادری حمام ایکیا مدل FINTSEN رنگ بژ",10,16000000,0,"success"
"60591617","آباژور ایکیا مدل SPETSBOJ رنگ سبز با قابلیت تنظیم نور",40,60000000,0,"success"
"80622788","ساعت رومیزی ایکیا مدل IKEA PS 2026 رنگ قرمز",200,300000000,20,"success"
"30605324","سینی آبچکان ظرف ایکیا مدل VALVARDAD، سفید/گالوانیزه، ابعاد ۵۲×۳۵ سانتی‌متر",30,45000000,100,"success"
"50604682","پتو/ شال مبل ایکیا مدل HOLMVI، بژ-زرد/ ابعاد ۱۲۰×۱۶۰ سانتی‌متر",40,60000000,0,"success"
"40569943","سبد نگهداری ایکیا مدل SKADIS، مجموعه ۳ عددی/ مشکی",40,60000000,0,"success"
"10608856","جا شمعی ایکیا مدل BORRBY  فانوس مخصوص شمع وارمر، سفید/ ارتفاع ۲۰ سانتی‌متر",20,30000000,422,"success"
"60608854","جا شمعی ایکیا مدل BORRBY  فانوس مخصوص شمع وارمر، مشکی/ ارتفاع ۲۰ سانتی‌متر",20,30000000,152,"success"
"80605982","گل مصنوعی ایکیا مدل SMYCKA، مدل پاپی / آبی/ ارتفاع ۵۷ سانتی‌متر",10,15000000,0,"success"
"50606054","گل مصنوعی ایکیا مدل SMYCKA، مدل رانانکولوس / زرد/ ارتفاع ۶۳ سانتی‌متر",10,15000000,276,"success"
"20607413","بشقاب گود ایکیا مدل HAVSGADDA  راه‌راه/ خاکستری قطر ۱۹ سانتی‌متر",10,15000000,60,"success"
"80607410","بشقاب گود ایکیا مدل HAVSGADDA  راه‌راه/ صورتی، قطر ۱۹ سانتی‌متر",10,15000000,12,"success"
"00607409","بشقاب ایکیا مدل HAVSGADDA راه‌راه خاکستری/ قطر ۲۱ سانتی‌متر",10,15000000,52,"success"
"70607401","بشقاب ایکیا مدل HAVSGADDA راه‌راه صورتی/ قطر ۲۱ سانتی‌متر",10,15000000,9,"success"
"70610540","گلدان شیشه‌ای ایکیا مدل PASKOTRAD، قهوه‌ای روشن، ارتفاع ۱۳.۵ سانتی‌متر",10,15000000,0,"success"
"10610538","گلدان شیشه‌ای ایکیا مدل PASKOTRAD، قهوه‌ای روشن، ارتفاع ۲۰ سانتی‌متر",20,30000000,0,"success"
"30606069","گل مصنوعی ایکیا مدل SMYCKA مدل (Queen Ann) یاسی، ارتفاع ۶۵ سانتی‌متر",10,15000000,52,"success"
"60606058","گل مصنوعی ایکیا مدل SMYCKA، مدل دالیا نارنجی، ارتفاع ۶۶ سانتی‌متر",10,15000000,1,"success"
"50607020","سینی شمع ایکیا مدل PRAKTAND استیل ضدزنگ، اندازه ۳۵×۲۶ سانتی‌متر",30,45000000,0,"success"
"90608065","گل مصنوعی ایکیا مدل SMYCKA، نوع Chrysanthemums، یاسی، ارتفاع ۷۱ سانتی‌متر",10,15000000,0,"success"
"20605980","گل مصنوعی ایکیا مدل SMYCKA، نوع Clematis، آبی، ارتفاع ۹۷ سانتی‌متر",10,15000000,22,"success"
"20607408","کاسه شیشه‌ای ایکیا مدل HAVSGADDA راه‌راه صورتی قطر ۱۲ سانتی‌متر",10,15000000,86,"success"
"40607407","کاسه شیشه‌ای ایکیا مدل HAVSGADDA، راه‌راه، خاکستری، قطر ۱۲ سانتی‌متر",10,15000000,156,"success"
"10605320","جا قاشقی ایکیا مدل VALVARDAD، خاکستری تیره - آبی و گالوانیزه، ارتفاع ۱۳ سانتی‌متر",20,30000000,0,"success"
"70605322","جا قاشقی ایکیا مدل VALVARDAD، سفید و گالوانیزه، ارتفاع ۱۳ سانتی‌متر",20,30000000,0,"success"
"10618006","دستمال آشپزخانه ایکیا مدل VALVARDAD، طرح سفید و آبی، اندازه ۴۵×۶۰ سانتی‌متر",20,30000000,3,"success"
"70609612","سرویس قاشق، چنگال و کارد ایکیا مدل PRAKTBOTIA با ۱۶ تکه استیل ضدزنگ",50,75000000,0,"success"
"80613114",-1,"ماهیتابه ایکیا مدل PUCKELLAX با پوشش نچسب و ۲۰ سانتی‌متری","",""
"60596177","بطری روغن و سرکه ایکیا مدل BRUGDHAJ، آبی",30,45000000,0,"success"
"30596174","بطری روغن و سرکه ایکیا مدل BRUGDHAJ، بژ",30,45000000,0,"success"
"20591841","شلف نمایشی پگ بورد ایکیا مدل SKADIS سفید",20,30000000,0,"success"
"30606031",-1,"شلف پگ بورد ایکیا مدل SKADIS صورتی","",""
"80569941","شلف پگ بورد ایکیا مدل SKADIS مشکی",20,30000000,39,"success"
"60599326","رخت آویز دیواری ایکیا مدل  KALLSO خاکستری، عرض ۸۰ سانتی‌متر",250,412500000,5,"success"
"30594085","برس توالت FLORSJON، رنگ بژ",40,60000000,42,"success"
"60604865","سطل زباله FLORSJON، رنگ بژ، ۳ لیتر",70,115500000,14,"success"
"90609588","ست قاشق و چنگال ۲۴ پارچه ایکیا مدل DOFTSKOLD، رنگ مشکی",140,210000000,0,"success"
"90559456","لیوان ایکیا مدل SANDSKADDA، دسته دار/ خاکستری روشن - بژ، ظرفیت ۲۷۰ میلی‌لیتر",10,15000000,34,"success"
"80607735","لیوان ایکیا مدل SANDSKADDA، دسته دار/ رنگ زرد، ظرفیت ۲۷۰ میلی‌لیتر",10,15000000,0,"success"
"20617997","دستکش فر ایکیا مدل VALVARDAD، رنگ بژ",20,30000000,0,"success"
"10595986","پایه رول دستمال توالت ایکیا مدل BASINGEN، ذغالی تیره، اندازه ۲۶×۱۷ سانتی‌متر",50,75000000,18,"success"
"70596172","بانکه درب دار ایکیا مدل BRUGDHAJ  بژ، ظرفیت ۱.۲ لیتر",50,75000000,0,"success"
"30596169","بانکه درب دار ایکیا مدل BRUGDHAJ بژ، ظرفیت ۱ لیتر",50,75000000,0,"success"
"00605995",-1,"پگ بورد ایکیا مدل SKADIS بژ / صورتی، اندازه ۷۶×۵۶ سانتی‌متر","",""
"20605471","سطل زباله پدالی ایکیا مدل GANSJON، مشکی، ظرفیت ۳ لیتر",60,90000000,0,"success"
"00605504","سطل زباله پدالی ایکیا مدل GANSJON، سبز روشن، ظرفیت ۳ لیتر",60,90000000,0,"success"
"40612263","ارگانایزر آویزی پارچه‌ای ایکیا مدل PURRPINGLA با ۶ بخش، بژ، اندازه ۲۲×۳۴×۸۰ سانتی‌متر",50,75000000,0,"success"
"30612254","باکس پارچه‌ای نگهدارنده ایکیا مدل PURRPINGLA بژ، اندازه ۳۴×۵۱×۲۸ سانتی‌متر",40,60000000,0,"success"
"80603563",-1,"قوطی فلزی ایکیا مدل VINTERFINT با درب، سبز، اندازه ۲۹×۲۰×۸ سانتی‌متر","",""
